"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL389849";"BAUHINOXEPIN H";"None";"286.28";"0";"2.04";"6, bauhinoxepin H";"COC1=C(C)C(=O)C2=C(CCc3c(O)cccc3O2)C1=O";"IC50";"'>'";"34900.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL914258";"Inhibition of COX1 by radioimmunoassay method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139892";"1";"Scientific Literature";"J Nat Prod";"2007";"None";"";"";"";"34.9"
"CHEMBL225236";"";"None";"387.17";"0";"4.44";"12q";"O=S(=O)(Nc1ccncc1Oc1cc(Cl)cc(Cl)c1)C(F)(F)F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL916301";"Inhibition of COX1 in human whole blood assessed as inhibition of calcium ionophore A-23187-stimulated platelet aggregation by measuring TXB2 production";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149303";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"100.0"
"CHEMBL147165";"";"None";"318.28";"0";"3.14";"12i";"O=S(=O)(Nc1ccncc1Oc1ccccc1)C(F)(F)F";"IC50";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"21.53";"0.45";"3.71";"10.04";"0";"CHEMBL916301";"Inhibition of COX1 in human whole blood assessed as inhibition of calcium ionophore A-23187-stimulated platelet aggregation by measuring TXB2 production";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149303";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"0.14"
"CHEMBL224192";"";"None";"298.75";"0";"2.90";"12c";"CS(=O)(=O)Nc1ccncc1Oc1cccc(Cl)c1";"IC50";"'='";"10860.0";"nM";"4.96";"";"";"UO_0000065";"16.62";"0.36";"2.06";"7.27";"0";"CHEMBL916301";"Inhibition of COX1 in human whole blood assessed as inhibition of calcium ionophore A-23187-stimulated platelet aggregation by measuring TXB2 production";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149303";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"10.86"
"CHEMBL389172";"";"None";"228.29";"0";"3.19";"18";"COc1cc(O)cc(CCc2ccccc2)c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL914258";"Inhibition of COX1 by radioimmunoassay method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139892";"1";"Scientific Literature";"J Nat Prod";"2007";"None";"";"";"";""
"CHEMBL227795";"BAUHINOXEPIN E";"None";"302.33";"0";"3.31";"3, bauhinoxepin E";"COc1c(C)c(OC)c2c(c1O)CCc1c(O)cccc1O2";"IC50";"'>'";"33100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL914258";"Inhibition of COX1 by radioimmunoassay method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139892";"1";"Scientific Literature";"J Nat Prod";"2007";"None";"";"";"";"33.1"
"CHEMBL1630243";"";"None";"349.74";"0";"3.58";"26a";"CCN(C)Cc1cc2c(cc1Cl)C=C(C(=O)O)C(C(F)(F)F)O2";"IC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"11.44";"0.24";"0.42";"8.04";"0";"CHEMBL1639902";"Inhibition of human COX1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629461";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"100.0"
"CHEMBL1630245";"";"None";"389.80";"0";"4.50";"26c";"CC1CCC(C)N1Cc1cc2c(cc1Cl)C=C(C(=O)O)C(C(F)(F)F)O2";"IC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"10.26";"0.21";"-0.50";"8.04";"0";"CHEMBL1639902";"Inhibition of human COX1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629461";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"100.0"
"CHEMBL356940";"";"None";"351.42";"0";"3.48";"23";"CS(=O)(=O)Nc1cc2c(cc1Sc1ccc(F)cc1)C(=O)CC2";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL767753";"Inhibition of Prostaglandin G/H synthase 1 in human U937 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128209";"1";"Scientific Literature";"J Med Chem";"1995";"CHEMBL3308006";"";"";"";"50.0"
"CHEMBL329688";"";"None";"444.58";"0";"3.55";"1";"COc1ccc(C2SCC(=O)N2CCN2C(=O)CSC2c2ccc(OC)cc2)cc1";"IC50";"'='";"53700.0";"nM";"4.27";"";"";"UO_0000065";"9.60";"0.19";"0.72";"7.23";"0";"CHEMBL831098";"In vitro inhibition activity against cyclooxygenase 1 with the compound dissolved in DMSO";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Prostaglandin G/H synthase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139589";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"53.7"
