,Age,Education,EducationNum,MaritalStatus,Relationship,Gender,CapitalGain,HoursPerWeek
2,38, HS-grad,9, Divorced, Not-in-family, Male,0.0,40
3,53, 11th,7, Married-civ-spouse, Husband, Male,0.0,40
4,28, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,40
5,37, Masters,14, Married-civ-spouse, Wife, Female,0.0,40
6,49, 9th,5, Married-spouse-absent, Not-in-family, Female,0.0,16
8,31, Masters,14, Never-married, Not-in-family, Female,14084.0,50
9,42, Bachelors,13, Married-civ-spouse, Husband, Male,5178.0,40
10,37, Some-college,10, Married-civ-spouse, Husband, Male,0.0,80
12,23, Bachelors,13, Never-married, Own-child, Female,,30
13,32, Assoc-acdm,12, Never-married, Not-in-family, Male,0.0,50
14,40, Assoc-voc,11, Married-civ-spouse, Husband, Male,0.0,40
15,34, 7th-8th,4, Married-civ-spouse, Husband, Male,,45
17,32, HS-grad,9, Never-married, Unmarried, Male,0.0,40
18,38, 11th,7, Married-civ-spouse, Husband, Male,,50
20,40, Doctorate,16, Married-civ-spouse, Husband, Male,0.0,60
21,54, HS-grad,9, Separated, Unmarried, Female,0.0,20
23,43, 11th,7, Married-civ-spouse, Husband, Male,,40
24,59, HS-grad,9, Divorced, Unmarried, Female,0.0,40
26,19, HS-grad,9, Never-married, Own-child, Male,0.0,40
28,39, HS-grad,9, Divorced, Not-in-family,,0.0,80
29,49,,9, Married-civ-spouse, Husband, Male,0.0,40
31,20, Some-college,10, Never-married, Own-child, Male,0.0,44
32,45, Bachelors,13, Divorced, Own-child, Male,0.0,40
35,48, 11th,7, Never-married, Unmarried, Male,0.0,40
36,21, Some-college,10, Never-married, Own-child, Male,0.0,40
37,19, HS-grad,9, Married-AF-spouse, Wife, Female,0.0,25
38,31, Some-college,10, Married-civ-spouse, Husband, Male,0.0,38
40,31, 9th,5, Married-civ-spouse, Husband, Male,0.0,43
42,24, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,50
43,49, HS-grad,9, Separated, Unmarried, Female,0.0,40
44,25, HS-grad,9, Never-married, Not-in-family, Male,0.0,35
46,53, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,38
47,44, Masters,14, Divorced, Unmarried, Female,0.0,40
49,29, Assoc-voc,11, Never-married, Not-in-family, Male,0.0,43
50,25, Some-college,10, Married-civ-spouse, Wife, Female,0.0,40
51,18, HS-grad,9, Never-married, Own-child, Female,0.0,30
52,47, Prof-school,15, Married-civ-spouse, Wife, Female,0.0,60
55,43, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
56,46, 5th-6th,3, Married-civ-spouse, Husband, Male,,40
57,35, Assoc-voc,11, Married-civ-spouse, Husband, Male,,40
58,41, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,48
59,30, HS-grad,9, Married-civ-spouse, Husband, Male,5013.0,40
60,30, Bachelors,13, Married-civ-spouse, Husband, Male,2407.0,40
62,48, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
63,42, Doctorate,16, Married-civ-spouse, Husband, Male,0.0,45
64,29, Some-college,10, Divorced, Not-in-family, Male,,58
65,36, HS-grad,9, Married-civ-spouse, Husband, Male,,40
66,28, Some-college,10, Divorced, Not-in-family,,0.0,40
67,53, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,40
70,19, Some-college,10, Never-married, Own-child, Male,0.0,32
71,31, Bachelors,13, Separated, Own-child, Female,,40
73,23, Some-college,10, Never-married, Not-in-family, Male,0.0,40
74,79, Some-college,10, Married-civ-spouse, Other-relative, Male,0.0,20
75,27, HS-grad,9, Never-married, Own-child,,,40
76,40, Assoc-acdm,12, Married-civ-spouse, Husband,,,40
78,18, 11th,7, Never-married, Own-child, Female,0.0,22
80,18, HS-grad,9, Never-married, Not-in-family,,0.0,30
81,52, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,40
82,46, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,40
83,59, HS-grad,9, Married-civ-spouse, Husband,,0.0,48
84,44, HS-grad,9, Divorced, Not-in-family, Female,14344.0,40
85,53, HS-grad,9, Divorced, Own-child, Female,0.0,35
87,33, Masters,14, Married-civ-spouse, Husband, Male,0.0,50
88,30, 9th,5, Never-married, Not-in-family,,0.0,40
90,57, Assoc-voc,11, Married-civ-spouse, Husband, Male,0.0,40
91,37, Some-college,10, Divorced, Unmarried, Female,0.0,40
92,28, Some-college,10, Divorced, Unmarried, Female,0.0,25
93,30, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,35
97,37, Some-college,10, Married-civ-spouse, Husband,,,48
98,48, Assoc-acdm,12, Divorced, Unmarried, Female,0.0,40
100,76, Masters,14, Married-civ-spouse, Husband, Male,0.0,40
101,44, Bachelors,13, Married-civ-spouse, Husband,,15024.0,60
103,20, Some-college,10, Never-married, Own-child, Female,,40
104,29, HS-grad,9, Never-married, Not-in-family,,,40
107,30, 11th,7, Never-married, Own-child,,0.0,40
109,42, HS-grad,9, Married-civ-spouse, Husband, Male,,40
110,24, Bachelors,13, Never-married, Other-relative, Male,0.0,40
111,38, Prof-school,15, Married-civ-spouse, Husband, Male,,40
113,28, Some-college,10, Married-civ-spouse, Wife, Female,4064.0,25
114,36, HS-grad,9, Never-married, Own-child, Female,0.0,40
115,53, 9th,5, Married-civ-spouse, Husband, Male,0.0,50
118,55, Some-college,10, Married-civ-spouse, Husband, Male,0.0,56
119,22, HS-grad,9, Never-married, Not-in-family, Male,0.0,41
120,21,,10, Never-married, Own-child, Female,,40
121,40,,13, Married-civ-spouse, Husband, Male,,60
122,30, Bachelors,13, Never-married, Own-child, Male,,40
124,19, Some-college,10, Never-married, Own-child, Male,0.0,35
125,47, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,40
126,20, Some-college,10, Never-married, Own-child, Female,0.0,28
127,31, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0.0,40
129,39, Some-college,10, Divorced, Not-in-family, Male,0.0,40
130,28, Assoc-acdm,12, Never-married, Not-in-family, Female,0.0,60
131,24, HS-grad,9, Never-married, Not-in-family, Female,0.0,40
133,37, Bachelors,13, Married-civ-spouse, Husband,,0.0,50
134,46, Assoc-acdm,12, Divorced, Not-in-family, Female,0.0,36
137,27, Assoc-voc,11, Married-civ-spouse, Wife, Female,0.0,35
138,20, Some-college,10, Never-married, Own-child, Male,0.0,20
139,49, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
141,27, Some-college,10, Never-married, Own-child, Female,0.0,40
142,19, Some-college,10, Never-married, Own-child, Male,0.0,30
143,45,,11, Never-married, Not-in-family, Female,0.0,40
144,70,,10, Never-married, Other-relative, Male,0.0,40
145,31, HS-grad,9, Never-married, Unmarried, Female,0.0,30
146,22, Some-college,10, Married-civ-spouse, Husband, Male,0.0,24
147,36, HS-grad,9, Widowed, Unmarried,,0.0,24
148,64, 11th,7, Married-civ-spouse, Husband, Male,0.0,40
151,34, HS-grad,9, Never-married, Not-in-family, Female,,40
152,33, Bachelors,13, Never-married, Other-relative, Female,0.0,40
153,21, HS-grad,9, Never-married, Own-child, Male,0.0,35
155,48, HS-grad,9, Married-civ-spouse, Husband, Male,,46
156,23, Bachelors,13, Never-married, Not-in-family, Male,0.0,40
158,29, HS-grad,9, Divorced, Not-in-family,,0.0,60
159,42, Bachelors,13, Separated, Other-relative, Male,0.0,50
161,25, HS-grad,9, Never-married, Unmarried, Female,,40
163,28, HS-grad,9, Never-married, Not-in-family, Female,0.0,40
165,36, Some-college,10, Divorced, Unmarried, Female,0.0,40
168,18, 11th,7, Never-married, Own-child,,0.0,16
170,27, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
172,51, Some-college,10, Married-civ-spouse, Husband, Male,,40
173,27, Bachelors,13, Never-married, Not-in-family, Male,0.0,50
175,27, HS-grad,9, Married-spouse-absent, Unmarried, Female,,25
176,21, HS-grad,9, Never-married, Own-child, Male,0.0,40
177,34, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
178,18, HS-grad,9, Never-married, Own-child, Male,,12
179,33, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,65
181,43, Some-college,10, Divorced, Not-in-family, Female,0.0,40
182,30, Some-college,10, Never-married, Not-in-family,,0.0,45
183,40, 7th-8th,4, Married-civ-spouse, Husband,,0.0,40
185,34, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
188,31, Masters,14, Married-civ-spouse, Wife, Female,0.0,50
190,38,,10, Divorced, Not-in-family, Female,0.0,28
