"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5282180";"";"None";"430.48";"1";"6.03";"3d-2";"O=C(/N=c1\scc(-c2ccc(C(F)(F)F)cc2)n1-c1ccccc1)c1cccs1";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"16.37";"0.33";"1.02";"20.51";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.09"
"CHEMBL5273141";"";"None";"636.46";"2";"8.29";"12-22";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccc(F)cc2)n1)c1ccc(Br)cc1";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"10.46";"0.22";"-1.63";"8.07";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
"CHEMBL5281749";"";"None";"618.47";"2";"8.15";"12-25";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccc(Br)cc2)n1)c1ccccc1";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"10.76";"0.23";"-1.49";"8.07";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
"CHEMBL5266132";"";"None";"604.65";"1";"4.95";"12-10";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2ccsc2)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1OC";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"11.01";"0.23";"1.71";"4.38";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
"CHEMBL5271091";"";"None";"520.55";"1";"3.84";"13-18";"CCOP(=O)(OCC)C(C)NC(=O)c1cc(-c2ccc(C)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1";"IC50";"'='";"280.0";"nM";"6.55";"";"";"UO_0000065";"12.59";"0.26";"2.71";"4.59";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.28"
"CHEMBL5271871";"";"None";"463.59";"1";"7.44";"3b-3";"N#Cc1ccc(-c2nc(N(c3ccccc3)c3ccccc3)sc2C(=O)c2cccs2)cc1";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"15.20";"0.29";"-0.39";"12.36";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.09"
"CHEMBL5277473";"";"None";"592.01";"2";"8.18";"12-17";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccccc2F)n1)c1ccc(Cl)cc1";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"11.25";"0.22";"-1.52";"8.07";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
"CHEMBL5286663";"";"None";"652.91";"2";"8.80";"12-26";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccc(Br)cc2)n1)c1ccc(Cl)cc1";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"10.20";"0.22";"-2.14";"8.07";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
"CHEMBL5285559";"";"None";"648.49";"2";"8.16";"12-29";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccc(Br)cc2)n1)c1ccccc1OC";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"10.27";"0.22";"-1.50";"7.26";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
"CHEMBL5275786";"";"None";"366.38";"0";"2.58";"22b-2";"COc1cc(/C=C/C(=O)c2cccc(-n3cnnn3)c2)cc(OC)c1OC";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"19.11";"0.35";"4.42";"7.92";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.1"
"CHEMBL5266699";"";"None";"277.29";"0";"1.95";"22b-5";"O=C(/C=C/c1cccnc1)c1cccc(-n2cnnn2)c1";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"25.24";"0.46";"5.05";"9.52";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.1"
"CHEMBL5282558";"";"None";"557.56";"2";"7.53";"12-16";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccccc2F)n1)c1ccccc1";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"11.94";"0.23";"-0.87";"8.07";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
"CHEMBL5279601";"";"None";"604.65";"1";"4.95";"12-5";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccs2)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1OC";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"11.01";"0.23";"1.71";"4.38";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
"CHEMBL5273124";"";"None";"465.56";"0";"4.88";"23";"CCOc1ccc2nc(NC(=O)CSc3nnc(Cc4c[nH]c5ccccc45)o3)sc2c1";"IC50";"'='";"37500.0";"nM";"4.43";"";"";"UO_0000065";"9.51";"0.19";"-0.45";"4.18";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"37.5"
"CHEMBL5273387";"";"None";"697.36";"2";"8.91";"12-27";"CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccc(Br)cc2)n1)c1ccc(Br)cc1";"IC50";"'='";"220.0";"nM";"6.66";"";"";"UO_0000065";"9.55";"0.22";"-2.25";"8.07";"0";"CHEMBL5243072";"Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5241111";"1";"Scientific Literature";"RSC Med Chem";"2022";"None";"TIME = 0.2 hr";"INHIBITOR";"";"0.22"
