"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL108452";"";"None";"368.34";"0";"2.60";"104";"NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1";"IC50";"'='";"436.52";"nM";"6.36";"";"";"UO_0000065";"17.27";"0.35";"3.76";"7.00";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"6.36"
"CHEMBL321407";"";"None";"350.35";"0";"2.52";"109";"NS(=O)(=O)c1ccc(-n2cc(C(F)F)nc2-c2cccnc2)cc1";"IC50";"'='";"1819.7";"nM";"5.74";"";"";"UO_0000065";"16.38";"0.33";"3.22";"6.32";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"5.74"
"CHEMBL46761";"";"None";"346.84";"0";"3.90";"87";"Cc1cn(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)cc2)n1";"IC50";"'='";"239.88";"nM";"6.62";"";"";"UO_0000065";"19.09";"0.39";"2.72";"12.74";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"6.62"
"CHEMBL52020";"";"None";"377.39";"0";"4.39";"193";"Cc1cc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)ccc1F";"IC50";"'='";"1.995";"nM";"8.70";"";"";"UO_0000065";"23.05";"0.46";"4.31";"14.46";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"8.7"
"CHEMBL314297";"";"None";"360.43";"0";"4.85";"295";"CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3F)CC3(CC3)C2)cc1";"IC50";"'='";"21.88";"nM";"7.66";"";"";"UO_0000065";"21.25";"0.42";"2.81";"22.44";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"7.66"
"CHEMBL282084";"";"None";"382.37";"0";"2.79";"220";"Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1";"IC50";"'='";"338.84";"nM";"6.47";"";"";"UO_0000065";"16.92";"0.34";"3.68";"6.22";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"6.47"
"CHEMBL29887";"";"None";"411.40";"0";"3.52";"223";"COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1C";"IC50";"'='";"9.333";"nM";"8.03";"";"";"UO_0000065";"19.52";"0.39";"4.51";"9.21";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"8.03"
"CHEMBL295032";"";"None";"414.84";"0";"4.92";"67";"Cc1cc(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1";"IC50";"'='";"79.43";"nM";"7.10";"";"";"UO_0000065";"17.12";"0.36";"2.18";"13.66";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"7.1"
"CHEMBL29204";"";"None";"348.32";"0";"4.58";"256";"COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(OC)cc2)cc1";"IC50";"'='";"758.58";"nM";"6.12";"";"";"UO_0000065";"17.57";"0.33";"1.54";"16.87";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"6.12"
"CHEMBL320926";"";"None";"388.40";"0";"2.97";"131";"Cc1ncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)s1";"IC50";"'='";"426.58";"nM";"6.37";"";"";"UO_0000065";"16.40";"0.35";"3.40";"7.01";"1";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Prostaglandin G/H synthase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"6.37"
