"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL315300";"";"None";"557.69";"2";"5.62";"62";"O=C1N(Cc2ccncc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1";"Ki";"'='";"6.9";"nM";"8.16";"";"";"UO_0000065";"14.63";"0.27";"2.54";"10.61";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"6.9"
"CHEMBL89132";"";"None";"754.84";"2";"6.17";"96";"Cc1coc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5nc(C)co5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)n1";"Ki";"'='";"0.064";"nM";"10.19";"";"";"UO_0000065";"13.50";"0.25";"4.02";"5.85";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.064"
"CHEMBL87592";"";"None";"571.72";"2";"5.80";"65";"Nc1cccc(CN2C(=O)N(Cc3ccc4ccccc4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"Ki";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"15.74";"0.29";"3.20";"10.00";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"1.0"
"CHEMBL87919";"";"None";"664.44";"2";"6.59";"40";"O=C1N(Cc2ccc(Br)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(Br)cc1";"Ki";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"11.39";"0.26";"0.98";"11.82";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"27.0"
"CHEMBL316375";"";"None";"656.78";"2";"6.04";"110";"COc1cccc(N2C(=O)N(Cc3cccc(C(=O)Nc4cccc(C)n4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"Ki";"'='";"0.053";"nM";"10.28";"";"";"UO_0000065";"15.65";"0.29";"4.24";"8.92";"0";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.053"
"CHEMBL89064";"";"None";"659.74";"1";"3.08";"118";"N#CCNC(=O)c1cccc(CN2C(=O)N(C(=O)CNC(=O)c3ccccc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"Ki";"'='";"0.024";"nM";"10.62";"";"";"UO_0000065";"16.10";"0.30";"7.54";"6.51";"0";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.024"
"CHEMBL81396";"";"None";"648.80";"1";"4.57";"72";"CCNC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NCC)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"Ki";"'='";"0.21";"nM";"9.68";"";"";"UO_0000065";"14.92";"0.28";"5.11";"7.92";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.21"
"CHEMBL32733";"";"None";"410.56";"0";"3.49";"3";"CCCN1C(=O)N(CCC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"19.72";"0.37";"4.61";"12.65";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"8.0"
"CHEMBL85653";"";"None";"774.92";"2";"6.98";"86";"Cc1ccc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5ccc(C)cn5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)nc1";"Ki";"'='";"0.011";"nM";"10.96";"";"";"UO_0000065";"14.14";"0.26";"3.98";"7.40";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.011"
"CHEMBL314052";"";"None";"494.72";"1";"5.83";"6";"CCCCCCN1C(=O)N(CCCCCC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"4.6";"nM";"8.34";"";"";"UO_0000065";"16.85";"0.32";"2.51";"13.02";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"4.6"
